coupon_id,start_date,date_count,selling_price_sum_mean,selling_price_sum_std,selling_price_sum_last,other_discount_sum_mean,other_discount_sum_std,other_discount_sum_last,coupon_discount_sum_mean,coupon_discount_sum_std,coupon_discount_sum_last,coupon_applied_sum_mean,coupon_applied_sum_std,coupon_applied_sum_last
1,2012-08-12,56,204.50196428571425,137.28158679973527,89.05,27.788928571428574,70.37235329248324,31.7,0.9541071428571427,4.0465706139602,0.0,0.05357142857142857,0.227207782928703,0.0
2,2012-08-12,25,108.84120000000001,38.43668509380069,89.05,15.433199999999998,11.640062542787303,21.02,0.0,0.0,0.0,0.0,0.0,0.0
3,2012-10-08,32,269.3984375,182.42974430491657,234.38,15.9290625,34.059894053912,14.96,4.730625,16.307396290957136,0.0,0.125,0.42121176958711604,0.0
4,2012-11-19,183,382.12896174863425,236.90627439056874,710.6,81.06956284153003,70.27020130976952,356.2,3.211639344262295,8.661850203399723,0.0,0.16939890710382513,0.44319416204810763,0.0
5,2012-11-19,29,392.41896551724136,202.8564505003622,142.12,33.04034482758621,44.83303369828025,178.1,0.0,0.0,0.0,0.0,0.0,0.0
6,2013-02-16,410,21013.109048780498,9558.21762197435,46505.40000000001,5051.115097560977,2369.312833942825,11015.70000000001,110.26114634146349,119.50155318487334,553.86,3.9341463414634146,3.8837703655559292,16.0
7,2013-02-16,411,8839.524890510947,3819.4019557880697,18510.42999999999,631.2053284671535,387.8129237592643,951.3600000000001,8.27048661800486,29.37914738766324,37.4,0.20924574209245742,0.5084766013276124,2.0
8,2013-02-16,410,21621.737463414636,9577.20399584476,43905.75000000007,5207.320000000001,2789.636615120774,11387.260000000006,30.853097560975588,108.39045731783736,69.46,1.0731707317073171,1.364772367030927,3.0
9,2013-02-16,411,9912.470754257905,4262.069552337866,14968.590000000004,2057.7500243308987,952.5398945810805,3751.599999999998,54.38605839416058,68.7789151506761,53.42999999999999,1.6253041362530414,1.7712451435346392,2.0
10,2013-02-16,146,174.0706164383563,156.95231521937112,102.94,24.144041095890397,36.779520718010666,0.0,0.49773972602739724,5.0809788319191975,0.0,0.0136986301369863,0.11663685877841849,0.0
11,2013-02-16,394,999.2309644670048,723.1592536939137,2147.8799999999987,209.86147208121847,346.54926826532477,656.45,2.1633756345177666,17.41492007583878,0.0,0.027918781725888325,0.20609598668526793,0.0
12,2013-02-16,5,126.024,58.91704490213337,228.68,33.056,46.210850241041875,112.2,42.744,77.22231983047388,178.1,0.4,0.5477225575051662,1.0
13,2013-02-16,92,88.15184782608694,29.02953410570295,71.24,13.047717391304332,11.775742351089997,17.81,0.4258695652173913,2.8724738169309143,0.0,0.021739130434782608,0.14662959759729016,0.0
14,2013-02-16,99,165.93535353535358,56.463077990393394,149.25,13.611616161616157,21.05604192252194,0.0,4.983030303030303,12.59567219605611,0.0,0.2222222222222222,0.48562090605645575,0.0
15,2013-04-08,4,233.3075,80.55435944131145,150.67,9.44,18.88,37.76,0.0,0.0,0.0,0.0,0.0,0.0
