coupon_id,start_date,item_id_count,selling_price_sum,selling_price_mean,selling_price_std,other_discount_sum,other_discount_mean,coupon_discount_sum,coupon_discount_mean,coupon_applied_sum,coupon_applied_mean
1,2012-08-12,45,6348.5,141.07777777777778,74.76775863507699,2226.2500000000005,49.472222222222236,19.59,0.43533333333333335,1.0,0.022222222222222223
2,2012-08-12,7,1279.82,182.83142857142857,71.55905706211512,256.46,36.637142857142855,0.0,0.0,0.0,0.0
3,2012-10-08,1142,116454.39000000052,101.97407180385335,51.13384331301313,25203.880000000067,22.069947460595504,373.96999999999997,0.3274693520140105,15.0,0.013134851138353765
4,2012-11-19,190,14803.700000000013,77.91421052631586,48.466974531869674,4330.970000000003,22.794578947368436,17.81,0.09373684210526315,1.0,0.005263157894736842
5,2012-11-19,2,408.91,204.455,88.15500241052689,245.77999999999997,122.88999999999999,0.0,0.0,0.0,0.0
6,2013-02-16,34258,3787180.3200002187,110.54878626890708,162.84764011226656,648045.3400000258,18.916613345788598,17995.599999999995,0.5252962811606047,451.0,0.013164808219977816
7,2013-02-16,24427,2911085.5300001325,119.17491014042382,216.27244099745693,388112.5600000132,15.8886707332056,6249.470000000001,0.2558427150284522,42.0,0.0017194088508617512
8,2013-02-16,25920,3437493.050000166,132.61933063272247,230.29057215916893,514091.390000022,19.833772762346527,5907.140000000003,0.22789891975308654,170.0,0.006558641975308642
9,2013-02-16,25854,2948975.510000228,114.06264059720847,204.63807743651645,410707.84000001836,15.885659472422773,8107.319999999999,0.3135808772336969,243.0,0.009398932466929683
10,2013-02-16,1347,104810.51000000081,77.81032665181945,50.64781364565404,18320.530000000057,13.600987379361586,361.17999999999995,0.2681365998515219,11.0,0.008166295471417966
11,2013-02-16,2015,199928.56999999966,99.22013399503705,76.97746974145961,65497.74000000024,32.5050818858562,1578.6799999999994,0.7834640198511164,21.0,0.010421836228287842
12,2013-02-16,74,11486.650000000001,155.22500000000002,125.14680301467762,1746.499999999999,23.60135135135134,213.72,2.888108108108108,5.0,0.06756756756756757
13,2013-02-16,127,9081.589999999997,71.50858267716532,25.76537099324786,1775.9799999999975,13.984094488188957,195.9,1.54251968503937,10.0,0.07874015748031496
14,2013-02-16,22,2781.1900000000005,126.41772727272729,27.68050043103546,218.72000000000003,9.941818181818183,96.17,4.371363636363636,5.0,0.22727272727272727
15,2013-04-08,31,5296.95,170.86935483870968,65.15822638958615,37.76,1.2180645161290322,0.0,0.0,0.0,0.0
16,2013-01-07,112,5875.400000000006,52.45892857142862,24.866382362834194,276.03999999999996,2.4646428571428567,112.2,1.0017857142857143,6.0,0.05357142857142857
17,2013-02-02,3465,384229.8199999975,110.88883694083621,94.67974566052078,74739.3999999997,21.569812409812325,990.19,0.2857691197691198,41.0,0.011832611832611833
18,2013-03-11,3515,346858.57999999746,98.67953911806471,57.99806527216229,64555.37000000034,18.365681365576197,2154.9399999999973,0.6130697012802269,75.0,0.021337126600284494
19,2013-03-11,28881,3749979.0600002087,129.84242443129423,233.48699555619618,473405.820000017,16.391600706347322,2676.4299999999994,0.0926709601468093,50.0,0.0017312419930057823
20,2013-05-19,28768,3049765.4100001813,106.01242387375491,163.58517043709173,421098.27000001626,14.637731854839275,3396.7399999999984,0.11807355394883198,63.0,0.0021899332591768634
21,2013-05-19,49496,5356556.570000353,108.22200925328013,187.07685638320865,836095.1300000399,16.89217573137304,12743.910000000013,0.2574735332148055,395.0,0.007980442864069823
22,2013-05-19,55902,6014632.070000464,107.59243086115818,171.56226421417497,1075626.400000043,19.241286537155073,17608.36,0.31498622589531683,651.0,0.011645379413974455
23,2013-05-19,44980,5518698.850000247,122.69228212539456,202.28319454007044,718170.2800000283,15.966435749222505,20605.700000000015,0.45810804802134314,565.0,0.012561138283681637
24,2013-05-19,40246,4858860.640000339,120.72903245043827,190.3269415314935,742051.6700000151,18.43789867316044,3460.4799999999973,0.08598320329970674,127.0,0.003155593102420116
25,2013-05-19,18,2918.71,162.15055555555557,85.06230149112659,351.56000000000006,19.531111111111116,0.0,0.0,0.0,0.0
26,2013-05-19,20,3848.0199999999995,192.40099999999998,246.41309912421454,521.13,26.0565,0.0,0.0,0.0,0.0
27,2013-05-19,901,82671.50000000057,91.75527192008941,50.278461295937504,51127.139999999825,56.7448834628189,2739.039999999999,3.039999999999999,70.0,0.07769145394006659
28,2013-07-15,199,36941.04999999999,185.63341708542708,89.40380173137008,2701.3999999999987,13.57487437185929,169.19,0.8502010050251256,5.0,0.02512562814070352
29,2013-08-10,40997,4891872.8300003195,119.3227023928658,212.83486887154925,608011.910000023,14.830643949557844,3533.829999999997,0.08619728272800442,87.0,0.002122106495597239
30,2013-08-10,44731,5005451.230000372,111.90116988219293,189.61075339573176,684775.3800000392,15.308742929959966,9162.780000000002,0.20484183228633393,337.0,0.007533925018443585
31,2013-08-10,67976,7381418.870000704,108.58860288926539,161.46596784874404,1264428.7500000494,18.60110553724917,28650.77000000005,0.42148361186301125,1049.0,0.015431917147228434
32,2013-08-10,45718,5403765.06000033,118.19775711974124,187.9010740912602,742266.8100000133,16.235767312656137,28513.63000000005,0.6236849818452261,746.0,0.016317424209282994
33,2013-08-10,38279,4968872.530000239,129.80674860890406,213.94268263808257,700797.4500000273,18.307621672458197,13306.780000000006,0.34762611353483647,220.0,0.0057472765746231615
34,2013-08-10,252,20095.240000000005,79.74301587301589,50.87678946637772,2339.91,9.285357142857142,525.39,2.0848809523809524,7.0,0.027777777777777776
