customer_id,coupon_id,start_date,item_id_count,selling_price_sum,selling_price_mean,selling_price_std,other_discount_sum,other_discount_mean,coupon_discount_sum,coupon_discount_mean,coupon_applied_sum,coupon_applied_mean
1,24,2013-05-19,76,8487.78,111.68131578947369,29.993759677288665,1086.7100000000005,14.298815789473691,130.03,1.710921052631579,8.0,0.10526315789473684
1,30,2013-08-10,110,9842.820000000005,89.48018181818186,34.782437965046775,1690.2500000000002,15.365909090909094,74.79,0.679909090909091,5.0,0.045454545454545456
1,32,2013-08-10,42,5529.96,131.66571428571427,81.46799725233596,753.0000000000002,17.928571428571434,324.1,7.716666666666667,14.0,0.3333333333333333
1,38,2013-09-16,22,1001.9099999999999,45.54136363636363,12.109585064439672,380.7500000000001,17.306818181818187,0.0,0.0,0.0,0.0
1,189,2013-08-10,2,213.72,106.86,25.187143545864824,127.52,63.76,0.0,0.0,0.0,0.0
1,244,2013-10-08,1,391.46,391.46,,0.0,0.0,0.0,0.0,0.0,0.0
1,389,2013-09-07,4,606.25,151.5625,59.60915275078708,167.07,41.7675,62.33,15.5825,2.0,0.5
1,390,2013-09-07,4,606.25,151.5625,59.60915275078708,167.07,41.7675,62.33,15.5825,2.0,0.5
1,416,2012-10-08,6,1941.2899999999997,323.5483333333333,86.09190169038357,1165.1399999999999,194.18999999999997,89.05,14.841666666666667,1.0,0.16666666666666666
1,417,2013-10-08,9,3098.9399999999996,344.3266666666666,79.14937128619533,2132.93,236.9922222222222,178.1,19.788888888888888,2.0,0.2222222222222222
1,432,2013-09-16,2,191.64,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,448,2012-10-08,1,106.5,106.5,,0.0,0.0,0.0,0.0,0.0,0.0
1,449,2013-02-16,1,81.57,81.57,,24.93,24.93,0.0,0.0,0.0,0.0
1,452,2013-09-16,4,254.68,63.67,9.008836402850994,55.56,13.89,30.28,7.57,2.0,0.5
1,468,2013-05-19,5,622.99,124.598,27.39193804753509,53.43,10.686,0.0,0.0,0.0,0.0
1,473,2013-02-16,4,471.61,117.9025,40.54887287788241,230.45,57.6125,26.71,6.6775,1.0,0.25
1,492,2013-04-22,3,257.53,85.84333333333332,30.36551552885828,60.19,20.063333333333333,8.9,2.966666666666667,1.0,0.3333333333333333
1,492,2013-09-16,3,257.53,85.84333333333332,30.36551552885828,60.19,20.063333333333333,8.9,2.966666666666667,1.0,0.3333333333333333
1,494,2013-02-16,1,113.63,113.63,,0.0,0.0,0.0,0.0,0.0,0.0
1,496,2013-04-22,2,143.9,71.95,26.19123517514972,60.19,30.095,8.9,4.45,1.0,0.5
1,518,2013-09-16,14,1233.1599999999999,88.08285714285714,19.575574430542623,168.84,12.06,0.0,0.0,0.0,0.0
1,526,2013-04-22,4,330.56,82.64,44.1123618350533,158.51,39.6275,7.12,1.78,1.0,0.25
1,526,2013-08-10,4,330.56,82.64,44.1123618350533,158.51,39.6275,7.12,1.78,1.0,0.25
1,625,2013-05-19,5,480.51,96.102,15.768751377328519,144.61,28.922000000000004,0.0,0.0,0.0,0.0
1,705,2013-04-22,5,627.63,125.526,30.334748721556927,54.85,10.97,0.0,0.0,0.0,0.0
1,715,2013-10-08,1,67.32,67.32,,0.0,0.0,0.0,0.0,0.0,0.0
1,721,2013-09-07,1,89.05,89.05,,17.45,17.45,0.0,0.0,0.0,0.0
1,772,2013-02-16,11,1237.4199999999998,112.49272727272727,26.43869629573632,254.30999999999997,23.119090909090907,0.0,0.0,0.0,0.0
1,799,2013-10-08,3,291.37,97.12333333333333,7.2147372324522845,13.89,4.63,0.0,0.0,0.0,0.0
1,801,2013-09-16,4,405.35,101.3375,15.334730461711198,77.65,19.4125,0.0,0.0,0.0,0.0
1,833,2013-09-07,4,606.25,151.5625,59.60915275078708,167.07,41.7675,62.33,15.5825,2.0,0.5
1,834,2013-09-07,4,606.25,151.5625,59.60915275078708,167.07,41.7675,62.33,15.5825,2.0,0.5
1,841,2013-09-07,4,170.26,42.565,11.799868643336673,0.0,0.0,17.81,4.4525,1.0,0.25
1,864,2013-09-07,5,569.2,113.84,40.876884054438406,265.72,53.144000000000005,17.81,3.562,1.0,0.2
1,868,2012-10-08,16,1636.3799999999999,102.27374999999999,22.618094489442157,598.1,37.38125,0.0,0.0,0.0,0.0
1,869,2013-09-16,38,3966.620000000001,104.38473684210528,17.814073503658314,922.6400000000003,24.28000000000001,0.0,0.0,0.0,0.0
1,869,2013-10-08,38,3966.620000000001,104.38473684210528,17.814073503658314,922.6400000000003,24.28000000000001,0.0,0.0,0.0,0.0
1,899,2013-10-08,3,309.19,103.06333333333333,12.135902658365925,17.45,5.816666666666666,0.0,0.0,0.0,0.0
1,907,2013-09-16,1,99.38,99.38,,24.93,24.93,0.0,0.0,0.0,0.0
1,1008,2013-08-10,6,569.2,94.86666666666667,9.011141252175927,69.8,11.633333333333333,0.0,0.0,0.0,0.0
1,1079,2013-09-16,13,942.5,72.5,9.998542393769206,192.71,14.823846153846155,46.3,3.5615384615384613,2.0,0.15384615384615385
2,32,2013-08-10,47,6309.359999999999,134.24170212765955,93.59408912307926,538.5699999999999,11.458936170212764,0.0,0.0,0.0,0.0
2,526,2013-08-10,4,191.63,47.9075,15.473472730235228,102.58,25.645,0.0,0.0,0.0,0.0
2,548,2013-08-10,1,113.63,113.63,,0.0,0.0,0.0,0.0,0.0,0.0
2,877,2013-08-10,11,1562.6499999999999,142.05909090909088,78.46571269727248,1085.3700000000001,98.67000000000002,89.05,8.095454545454546,1.0,0.09090909090909091
