customer_id,start_date,item_id_count,selling_price_sum,selling_price_mean,selling_price_std,other_discount_sum,other_discount_mean,coupon_discount_sum,coupon_discount_mean,coupon_applied_sum,coupon_applied_mean
1,2012-10-08,190,18557.88,97.67305263157895,71.50103657181326,6021.999999999996,31.694736842105243,277.81,1.462157894736842,9.0,0.04736842105263158
1,2013-02-16,463,40831.35999999997,88.18868250539951,42.6112692423292,11350.91,24.516004319654428,320.58000000000004,0.6923974082073435,11.0,0.023758099352051837
1,2013-04-22,360,29895.95999999999,83.0443333333333,40.02733385852383,7283.109999999995,20.230861111111096,96.15,0.26708333333333334,7.0,0.019444444444444445
1,2013-05-19,661,57123.14,86.41927382753404,38.743367746239606,15387.30000000003,23.27881996974286,130.03,0.19671709531013615,8.0,0.012102874432677761
1,2013-08-10,1194,103186.17000000013,86.42057788944734,42.52669586200964,25163.259999999962,21.07475711892794,914.9900000000001,0.7663232830820772,35.0,0.02931323283082077
1,2013-09-07,96,11334.55,118.06822916666665,61.9588593383977,2030.4399999999996,21.15041666666666,908.2599999999999,9.461041666666665,36.0,0.375
1,2013-09-16,326,26915.980000000014,82.5643558282209,38.28364577987774,5386.100000000005,16.52177914110431,206.58000000000004,0.6336809815950921,12.0,0.03680981595092025
1,2013-10-08,350,31227.17000000003,89.2204857142858,58.83799390929783,8274.549999999996,23.641571428571417,263.58,0.7530857142857142,8.0,0.022857142857142857
2,2013-08-10,1076,87271.60000000033,81.10743494423822,58.84422466550251,14077.06000000002,13.082769516728643,124.66999999999999,0.11586431226765798,2.0,0.0018587360594795538
3,2013-02-16,758,63409.160000000076,83.65324538258585,60.88687904561978,17384.390000000007,22.934551451187343,453.78999999999996,0.5986675461741424,12.0,0.0158311345646438
3,2013-05-19,787,70862.30000000003,90.04104193138505,83.36366588174845,18539.980000000014,23.557789072426957,518.25,0.6585133418043202,16.0,0.020330368487928845
4,2013-02-16,127,13047.949999999993,102.73976377952751,63.72262847766472,1864.570000000001,14.681653543307094,89.05,0.7011811023622047,1.0,0.007874015748031496
5,2013-02-02,46,9541.459999999997,207.4230434782608,118.61265298571304,1379.95,29.99891304347826,0.0,0.0,0.0,0.0
5,2013-02-16,384,24721.39999999998,64.37864583333328,60.15973776781271,2859.429999999997,7.446432291666659,0.0,0.0,0.0,0.0
5,2013-05-19,1308,126847.58999999968,96.97827981651352,182.05263247182984,14022.210000000041,10.720344036697279,0.0,0.0,0.0,0.0
5,2013-08-10,1237,142696.45999999976,115.35687954729164,216.45953907022516,13720.710000000036,11.091924009700918,0.0,0.0,0.0,0.0
6,2013-03-11,285,28306.020000000015,99.31936842105269,71.01943961919899,3904.3199999999974,13.699368421052622,0.0,0.0,0.0,0.0
6,2013-04-08,247,22166.57,89.7431983805668,94.081412102197,2264.3399999999997,9.16736842105263,35.62,0.14421052631578946,1.0,0.004048582995951417
6,2013-07-15,20,4077.060000000001,203.85300000000004,194.1112947200516,739.4699999999998,36.97349999999999,133.57,6.6785,1.0,0.05
6,2013-08-10,1159,96928.97000000004,83.63155306298538,59.01223633251115,11970.190000000024,10.328032786885267,0.0,0.0,0.0,0.0
7,2012-10-08,127,7123.989999999999,56.09440944881889,54.06207964003628,1210.3599999999992,9.530393700787396,0.0,0.0,0.0,0.0
7,2013-01-07,165,14499.10000000001,87.87333333333339,136.43337427572536,2594.1799999999994,15.722303030303026,71.24,0.43175757575757573,2.0,0.012121212121212121
7,2013-01-12,64,10456.200000000003,163.37812500000004,149.3889941322892,1181.8500000000001,18.466406250000002,213.71999999999997,3.3393749999999995,5.0,0.078125
7,2013-02-16,605,59514.47999999996,98.37104132231399,146.74121183927696,9664.610000000006,15.974561983471084,142.48,0.23550413223140493,3.0,0.0049586776859504135
7,2013-04-08,237,28978.509999999995,122.27219409282698,153.9097727712168,3932.019999999998,16.590801687763705,267.15,1.1272151898734177,5.0,0.02109704641350211
7,2013-04-22,611,57049.86000000007,93.37129296235692,135.8845387257835,9557.340000000011,15.642127659574486,17.81,0.029148936170212764,1.0,0.0016366612111292963
7,2013-05-19,1264,121520.86999999984,96.13992879746823,142.92711026273184,20238.78000000004,16.011693037974716,17.81,0.014090189873417721,1.0,0.0007911392405063291
7,2013-07-29,258,23170.76000000003,89.80914728682183,122.82233670559513,3434.6999999999994,13.312790697674416,35.62,0.13806201550387595,1.0,0.003875968992248062
7,2013-08-10,2033,191341.06999999966,94.11759468765355,135.16359867457817,27702.070000000032,13.62620265617316,480.87,0.23653221839645844,8.0,0.003935071323167732
7,2013-09-16,210,19168.500000000015,91.2785714285715,134.82849306244614,2772.2299999999987,13.201095238095231,0.0,0.0,0.0,0.0
8,2013-01-07,253,90889.01000000004,359.2450988142294,574.6160232647102,5972.429999999997,23.606442687747023,110.07,0.4350592885375494,3.0,0.011857707509881422
